Subject,Body,Category
"SAP ARIBA Downstream __  Redmond, WA - Onsite on C2C or W2","Remove/unsubscribe  |  Update your contact and subscribed mailing list(s)  |  Subscribe to mailing list(s) to receive requirements & resumes
										
								
           						
						
                        
    		              
				       		
								 
									
                                            From:
		                                   Chandrika Nannam,
		                                   Propelsys                                            
									       chandrika@propelsys.com
									       Reply to:   chandrika@propelsys.com
	
										
								
  						    
						  
                                                
      						
							
								Hello,Greetings of the Day!!SAP ARIBA DownstreamRedmond, WA- OnsiteC2C/W2Design and implement end-to-end P2P processes using SAP Ariba B&I.Map business requirements to system functionalities, including catalog purchasing, purchase orders, and invoicing.Configure procurement workflows, catalogs, and invoice reconciliation processes.Set up and manage approval workflows for requisitions and invoices.Configure catalogs, procurement rules, and invoice reconciliation.Enable Guided Buying to simplify the purchasing process.Set up supplier collaboration features for order and invoice processing.Integrate SAP Ariba with ERP systems for PO and invoice posting.Automate tax calculations and validations for invoices.Monitor and optimize invoice payment cycles.Support exception handling in the invoicing process, such as mismatched invoices.Enable supplier onboarding and integration with the Ariba Network.Configure and test interfaces between SAP Ariba and backend systems (e.g., SAP ECC, Oracle and Vertex).Implement controls to ensure compliance with tax, regulatory, and internal policies.Enable audit trails and reporting features for procurement and invoicing processes.Conduct training sessions for procurement teams and end-users.Develop user guides and process documentation for SAP Ariba B&I functionalities.Provide ongoing support and troubleshoot issues in the P2P process.Monitor system performance and recommend improvements.Ability to analyze business processes and identify optimization opportunitiesRegards  Chandrika NannamSenior Technical RecruiterD: 469 333 6128E: chandrika@propelsys.comLinkedin: linkedin.com/in/chandrika-nannamWeb: http://www.propelsys.comPropelSys Technologies LLC  | 4975 Preston Park Boulevard, Suite 70 West Plano, TX 75093   ""BEST WAY TO REACH ME IS THROUGH E-MAIL ""
							
        					
      						
      							
      								 
									
										 Sign-Up for your account with PROHIRES POWERHOUSE Recruiting Portal to broadcast requirements & hotlists.",
New text message from 79775,"
<https://voice.google.com>
SHP just stopped another school shooting - the 18th school shooting we've
prevented.

But there's been more than 45 mass shootings this year. So we can't let up.
Will you share your input on our strategy to save lives in the months
ahead? t.sandyhook.us/UkWfb5EBfvSP

-Nicole, SHP

To respond to this message, launch Google Voice (https://voice.google.com)
on your mobile device or computer.
YOUR ACCOUNT <https://voice.google.com> HELP CENTER
<https://support.google.com/voice#topic=1707989> HELP FORUM
<https://productforums.google.com/forum/#!forum/voice>
This email was sent to you because you indicated that you'd like to receive
email notifications for text messages. If you don't want to receive such
emails in the future, please update your email notification settings
<https://voice.google.com/settings#messaging>.
Google LLC
1600 Amphitheatre Pkwy
Mountain View CA 94043 USA
",
Krishna Node JS &amp; React JS Developer,"Remove/unsubscribe  |  Update your contact and subscribed mailing list(s)  |  Subscribe to mailing list(s) to receive requirements & resumes
										
								
           						
						
                        
    		              
				       		
								 
									
                                            From:
		                                   Shane S,
		                                   vertonsolutions                                            
									       shane@vertonsolutions.com
									       Reply to:   shane@vertonsolutions.com
	
										
								
  						    
						  
                                                
      						
							
								Hello,Pls find below details of  Krishna Node JS & React JS Developer Texas H1B, he is available on our bench- We are ready to share PP No too. NameRoleLocationVisaRelocationPP No.Experience KrishnaNode JS & React JS DeveloperTexasH1BYesYes10Let me know if you want to proceed with him.Thanks and Regards,Shane S,Manager- Bench Marketing,Verton Solutions, Inc.Email/Skype/Gtalk : mailto:Shane@vertonsolutions.comhttps://www.vertonsolutions.com/ 
							
        					
      						
      							
      								 
									
										 Sign-Up for your account with PROHIRES POWERHOUSE Recruiting Portal to broadcast requirements & hotlists.",
"Urgent hiring -Senior Full-Stack Software Developer-MUST CURRENTLY LIVE in WARREN, MI","Remove/unsubscribe  |  Update your contact and subscribed mailing list(s)  |  Subscribe to mailing list(s) to receive requirements & resumes
										
								
           						
						
                        
    		              
				       		
								 
									
                                            From:
		                                   Sradha Suman Nayak,
		                                   Adventa tech                                            
									       sradha@adventatech.com
									       Reply to:   sradha@adventatech.com
	
										
								
  						    
						  
                                                
      						
							
								Senior Full-Stack Software Developer Hybrid — MUST CURRENTLY LIVE in WARREN, MI The Senior Full-Stack Software Developer (Java/Spring Boot) will design, develop, and maintain high-performance, scalable applications. This role involves working across the entire tech stack, focusing on back-end services using Java, Spring Boot and Postgres, while also contributing to front-end development using Angular framework. Responsibilities include collaborating with cross-functional teams to deliver robust solutions, driving the architecture and design of new features, optimizing performance, and ensuring code quality through best practices like testing and code reviews. The ideal candidate has extensive experience with full-stack development, microservices, RESTful APIs, and database technologies.This role entails the following and will work with GM’s Customer Care and Aftersales (CCA) and Manufacturing IT teams to help accelerate the development of one of home-grown product to expand for dealerships. Minimum Experience Minimum 7 years of professional software development experience Excellent technical (hands-on) knowledge of Java, Angular, SQLProficient in multi-threaded development Experience with Spring BootExperience with cloud platforms, Kubernetes, Docker and HPC platformsGood understanding of software development best practices Experience working in an agile environment Extensive UI Design experience Comfortable dealing with ambiguity We are looking for a Senior Full-Stack Software Developer who:  Has a steadfast drive for excellence  Challenges themselves with innovative spirit  Enjoys working collaboratively in a cross-functional teams  Demonstrates a strong work ethic    Excels in software engineeringUnderstanding of electrical wiring harness, general electrical concepts and vehicle diagnostics is a plusHas a strong attention to detailDeveloping scalable software solutions based on detailed business requirements and supported technology architecture.Actively engage in development activities associated with developing new solutions and refining current solutions.Demonstrate success in software project delivery, experience driving technical efforts, and experience with a variety of development tools and technologies.Possess technical depth and applied experience in multi-layer solution development, performance tuning, solution debug, incident triage/remediation, and usability improvement.Ability to demonstrate adaptive experience gaining technical situational depth quickly, quantifying impact assessment, triage & root causing activities, defining remediation options, and expressing declarative technical recommendations.Engage to identify and remediate software opportunities related to code quality, security, framework development, and software usability refinement.Proficiency in build/release automation solutions.Demonstrated experience augmenting build/release automation solutions to include unit testing, code quality scanning, security scanning, and dependency management.Demonstrate strong written and verbal communication skills.Demonstrate experience and proficiency in the following technology platforms/patterns:Java, Azure TFS Build/Release Automation, UI Framework Development, API Framework Development, Data Layer Development, Unit Testing, UI Experience with Angular. Solutions Architecture (design, proposal, develop, deliver, sustain), Secured Development Patterns, and Practices Kubernetes/Dock Mobile Development Network (Firewall, Proxy, Gateway).
							
        					
      						
      							
      								 
									
										 Sign-Up for your account with PROHIRES POWERHOUSE Recruiting Portal to broadcast requirements & hotlists.",
Job Title: Actimize Developer,"Remove/unsubscribe  |  Update your contact and subscribed mailing list(s)  |  Subscribe to mailing list(s) to receive requirements & resumes
										
								
           						
						
                        
    		              
				       		
								 
									
                                            From:
		                                   ankit,
		                                   kk software                                            
									       ankitkumar.s@kksoftwareassociates.com
									       Reply to:   ankitkumar.s@kksoftwareassociates.com
	
										
								
  						    
						  
                                                
      						
							
								Job Title: Actimize DeveloperLocation - New York, NY(Onsite)Type: ContractVISA only :H1B, GC, US Citizen, GC EADJD:1. 5+ years of appropriate technical experience2. Actimize Suite (ActOne, Case Management, FinCEN SAR Module)3. AIS concepts and understanding of Actimize models4. Knowledge of ActOne suite and customization5. Proficiency in RCM development - Alert types, Views, DART, Workflows, Administration6. Proficiency in RCM plugin development and Actimize scheduler7. Strong understanding of windows and linux infrastructure8. 3+ years of handson experience on Core Java9. Strong database skills including SQL, procedure and query tuning10. Service design concepts, OO and Functional development concepts11. Strong oral and written communication skills12. Excellent interpersonal and professional approach13. Analytical & Self starter14. Familiarity with financial market dataAnkit |Lead Technical Recruiter |KK Associates LLCContact: (469) 215-2333Email Id: ankitkumar.s@kksoftwareassociates.comhttps://www.linkedin.com/in/ankit-shukla-19152a231
							
        					
      						
      							
      								 
									
										 Sign-Up for your account with PROHIRES POWERHOUSE Recruiting Portal to broadcast requirements & hotlists.",
Urgent || Oracle Fusion Cloud - Lead Business Analyst (Oracle Finance) (Functional Consultant) || Remote,"Remove/unsubscribe  |  Update your contact and subscribed mailing list(s)  |  Subscribe to mailing list(s) to receive requirements & resumes
										
								
           						
						
                        
    		              
				       		
								 
									
                                            From:
		                                   Deepali Jha,
		                                   SibiTalent                                            
									       deepali@sibitalent.com
									       Reply to:   deepali@sibitalent.com
	
										
								
  						    
						  
                                                
      						
							
								Hello,Hope you are doing well!!My name is Deepali Jha and I am a Staffing Specialist at Sibitalent. I am reaching out to you on an exciting job opportunity with one of our clients. Title: Oracle Fusion Cloud - Lead Business Analyst (Oracle Finance) (Functional Consultant)Location: Remote – Work PST HoursDuration: 12+ MonthsVisa: USC, GCInterview Mode: 1 Round – Teams Must to Have:•             10+ years of experience•             Experience in transitioning financial systems to Oracle Fusion Cloud•             Strong knowledge of Ledgers, Accounts Payable (AP), and Accounts Receivable (AR)•             Expertise in OTC, AR, AP, GRC, and Oracle's interaction with edge systems•             Experience in data conversion from a business perspective, including data cleansing, migrations, and cutover•             Prior experience handling large projects (Client is integrating with 45 countries)•             Ability to convert open invoices to GL from a business perspective•             Strong experience in Change Management About the Role:The Oracle Fusion Cloud Lead Business Analyst will play a critical role in validating financial data from legacy applications to Oracle Fusion Cloud. This position involves working closely with stakeholders, ensuring smooth data migration, and supporting finance transformation initiatives. Responsibilities:Assist in creating and executing the cutover planValidate business processes and perform functional testing of Oracle Financial ModulesSupport data validation, cleansing, and migration effortsLead User Acceptance Testing (UAT) and test scenario executionFacilitate business requirement sessions and document process flowsEnsure alignment with industry best practices and financial reporting standardsSupport change management initiatives and organizational transition to Oracle FusionCoordinate post-production support and smooth transition to business users Qualifications:Experience: 9-14 years in finance/business analysisEducation: Bachelor’s degree in Business Administration, Accounting, or related fieldFinance Experience: Minimum 5+ years in finance rolesOracle Expertise: Functional knowledge of Oracle Financials (R12 or Fusion), with understanding of financial analysis, consolidation, and reporting systemsProject Management: Experience with PMO processes, project coordination, and stakeholder managementIndustry Background: Experience in Manufacturing, Consumer Goods, Fashion, or Entertainment industries preferredStrong Communication: Ability to conduct business requirement gathering sessions, process modeling, and document financial workflows  Thanks & RegardsDeepali JhaSr. Technical RecruiterE-Mail:deepali@sibitalent.comWebsite: www.sibitalent.com
							
        					
      						
      							
      								 
									
										 Sign-Up for your account with PROHIRES POWERHOUSE Recruiting Portal to broadcast requirements & hotlists.",
"Deepthi, add Ashina Kakkar - Sr. QA / SDET","Do you know Ashina Kakkar?70 mutual connections

Yes, connect: https://www.linkedin.com/comm/mynetwork/send-invite/ashina-kakkar-691986290/?lipi=urn%3Ali%3Apage%3Aemail_email_pymk_02%3BgnYAxfMOSfS1JlxINBZagA%3D%3D&midSig=0hk7JiRliRZXE1&midToken=AQFfI12WJwWclA&trkEmail=eml-email_pymk_02-pymkCard-0-pymk_cta%3A+urn%3Ali%3Amember%3A1184866381-null-hv9yo6%7Em86i9sgu%7Eck-null-null&trk=eml-email_pymk_02-pymkCard-0-pymk_cta%3A+urn%3Ali%3Amember%3A1184866381&_sig=1Gll-nOX-RZXE1


More people you may know
            
    Divya P.
Certified Tableau Developer | SQL |Snowflake| Data visualization | Business Intelligence|Microsoft Excel |PowerPoint|Amazon QuickSight|Tableau Prep|Tableau Cloud|Tableau Server
https://www.linkedin.com/comm/mynetwork/send-invite/divya-p-894416244/?lipi=urn%3Ali%3Apage%3Aemail_email_pymk_02%3BgnYAxfMOSfS1JlxINBZagA%3D%3D&midSig=0hk7JiRliRZXE1&midToken=AQFfI12WJwWclA&trkEmail=eml-email_pymk_02-pymkCard-0-pymk_cta%3A+urn%3Ali%3Amember%3A1016262256-null-hv9yo6%7Em86i9sgu%7Eck-null-null&trk=eml-email_pymk_02-pymkCard-0-pymk_cta%3A+urn%3Ali%3Amember%3A1016262256&_sig=3BGaIphNWRZXE16 mutual connections
            
    K Akilesh
Senior Software Development Engineer in Test (SDET)
https://www.linkedin.com/comm/mynetwork/send-invite/k-akilesh-211a04333/?lipi=urn%3Ali%3Apage%3Aemail_email_pymk_02%3BgnYAxfMOSfS1JlxINBZagA%3D%3D&midSig=0hk7JiRliRZXE1&midToken=AQFfI12WJwWclA&trkEmail=eml-email_pymk_02-pymkCard-0-pymk_cta%3A+urn%3Ali%3Amember%3A1408893997-null-hv9yo6%7Em86i9sgu%7Eck-null-null&trk=eml-email_pymk_02-pymkCard-0-pymk_cta%3A+urn%3Ali%3Amember%3A1408893997&_sig=2td-VbiFSRZXE12 mutual connections
            
    manish dubey
Business Analyst at Northwell Health
https://www.linkedin.com/comm/mynetwork/send-invite/manish-dubey-854988350/?lipi=urn%3Ali%3Apage%3Aemail_email_pymk_02%3BgnYAxfMOSfS1JlxINBZagA%3D%3D&midSig=0hk7JiRliRZXE1&midToken=AQFfI12WJwWclA&trkEmail=eml-email_pymk_02-pymkCard-0-pymk_cta%3A+urn%3Ali%3Amember%3A1471524544-null-hv9yo6%7Em86i9sgu%7Eck-null-null&trk=eml-email_pymk_02-pymkCard-0-pymk_cta%3A+urn%3Ali%3Amember%3A1471524544&_sig=1rerd7PDqRZXE11 mutual connection
            
    Hema T
QA Test Automation Engineer, ISTQB-certified Software Tester, API Tester, Manual Tester, and Database Tester, Professional scrum master PSM certified and Certified with Microsoft analyst associate
https://www.linkedin.com/comm/mynetwork/send-invite/hema-t/?lipi=urn%3Ali%3Apage%3Aemail_email_pymk_02%3BgnYAxfMOSfS1JlxINBZagA%3D%3D&midSig=0hk7JiRliRZXE1&midToken=AQFfI12WJwWclA&trkEmail=eml-email_pymk_02-pymkCard-0-pymk_cta%3A+urn%3Ali%3Amember%3A1194710690-null-hv9yo6%7Em86i9sgu%7Eck-null-null&trk=eml-email_pymk_02-pymkCard-0-pymk_cta%3A+urn%3Ali%3Amember%3A1194710690&_sig=1Mb9sFYjiRZXE111 mutual connections
            
    Aishwarya K
QA Tester at First Reliance Bank
https://www.linkedin.com/comm/mynetwork/send-invite/aishwarya-k-538256284/?lipi=urn%3Ali%3Apage%3Aemail_email_pymk_02%3BgnYAxfMOSfS1JlxINBZagA%3D%3D&midSig=0hk7JiRliRZXE1&midToken=AQFfI12WJwWclA&trkEmail=eml-email_pymk_02-pymkCard-0-pymk_cta%3A+urn%3Ali%3Amember%3A1159174268-null-hv9yo6%7Em86i9sgu%7Eck-null-null&trk=eml-email_pymk_02-pymkCard-0-pymk_cta%3A+urn%3Ali%3Amember%3A1159174268&_sig=27r9mcWCaRZXE141 mutual connections

See more people you might know:https://www.linkedin.com/comm/mynetwork/add-connections/?lipi=urn%3Ali%3Apage%3Aemail_email_pymk_02%3BgnYAxfMOSfS1JlxINBZagA%3D%3D&midToken=AQFfI12WJwWclA&midSig=0hk7JiRliRZXE1&trk=eml-email_pymk_02-see_more-0-cta~text&trkEmail=eml-email_pymk_02-see_more-0-cta~text-null-hv9yo6~m86i9sgu~ck-null-null&eid=hv9yo6-m86i9sgu-ck&otpToken=MTMwNTE2ZTAxNjJiY2VjZGI2MjgwZmViNDExYWU2YmM4ZWM3ZDU0MjlhYWE4NjZiN2JjZjA1NmQ0ZDVjNWNmMGZmZDZkNWU5NGNkMmI4ZTg3Y2FjYzk5YjBhMGI0NGUzNzgwMDllMTViYmZkNGI1MjExMmM2NDAxLDEsMQ%3D%3D
      

----------------------------------------

This email was intended for Deepthi Reddy (SDET at Move, Inc)
Learn why we included this: https://www.linkedin.com/help/linkedin/answer/4788?lang=en&lipi=urn%3Ali%3Apage%3Aemail_email_pymk_02%3BgnYAxfMOSfS1JlxINBZagA%3D%3D&midToken=AQFfI12WJwWclA&midSig=0hk7JiRliRZXE1&trk=eml-email_pymk_02-SecurityHelp-0-textfooterglimmer&trkEmail=eml-email_pymk_02-SecurityHelp-0-textfooterglimmer-null-hv9yo6~m86i9sgu~ck-null-null&eid=hv9yo6-m86i9sgu-ck&otpToken=MTMwNTE2ZTAxNjJiY2VjZGI2MjgwZmViNDExYWU2YmM4ZWM3ZDU0MjlhYWE4NjZiN2JjZjA1NmQ0ZDVjNWNmMGZmZDZkNWU5NGNkMmI4ZTg3Y2FjYzk5YjBhMGI0NGUzNzgwMDllMTViYmZkNGI1MjExMmM2NDAxLDEsMQ%3D%3D
You are receiving People You May Know notification emails.

Unsubscribe: https://www.linkedin.com/comm/psettings/email-unsubscribe?lipi=urn%3Ali%3Apage%3Aemail_email_pymk_02%3BgnYAxfMOSfS1JlxINBZagA%3D%3D&midToken=AQFfI12WJwWclA&midSig=0hk7JiRliRZXE1&trk=eml-email_pymk_02-unsubscribe-0-textfooterglimmer&trkEmail=eml-email_pymk_02-unsubscribe-0-textfooterglimmer-null-hv9yo6~m86i9sgu~ck-null-null&eid=hv9yo6-m86i9sgu-ck&loid=AQEnjVobvd-bBgAAAZWMiNic1few6cOcg6u7EYYE5V50EmqJZLp5exkPXNbrtDgvHbWy77ZhcSJmeW4Wk_VWfkRGCV3Hg_0W5Z2mfHP29lTZwlid
Help: https://www.linkedin.com/help/linkedin/answer/67?lang=en&lipi=urn%3Ali%3Apage%3Aemail_email_pymk_02%3BgnYAxfMOSfS1JlxINBZagA%3D%3D&midToken=AQFfI12WJwWclA&midSig=0hk7JiRliRZXE1&trk=eml-email_pymk_02-help-0-textfooterglimmer&trkEmail=eml-email_pymk_02-help-0-textfooterglimmer-null-hv9yo6~m86i9sgu~ck-null-null&eid=hv9yo6-m86i9sgu-ck&otpToken=MTMwNTE2ZTAxNjJiY2VjZGI2MjgwZmViNDExYWU2YmM4ZWM3ZDU0MjlhYWE4NjZiN2JjZjA1NmQ0ZDVjNWNmMGZmZDZkNWU5NGNkMmI4ZTg3Y2FjYzk5YjBhMGI0NGUzNzgwMDllMTViYmZkNGI1MjExMmM2NDAxLDEsMQ%3D%3D

© 2025 LinkedIn Corporation, 1zwnj000 West Maude Avenue, Sunnyvale, CA 94085.
LinkedIn and the LinkedIn logo are registered trademarks of LinkedIn.",
Available consultant for new projects,"Remove/unsubscribe  |  Update your contact and subscribed mailing list(s)  |  Subscribe to mailing list(s) to receive requirements & resumes
										
								
           						
						
                        
    		              
				       		
								 
									
                                            From:
		                                   Kiran,
		                                   BI LABS                                            
									       kiran@bilabsinc.com
									       Reply to:   kiran@bilabsinc.com
	
										
								
  						    
						  
                                                
      						
							
								Hello Recruiters,I have a strong pipeline of talented professionals actively looking for new opportunities. If you have any suitable roles, let’s connect!📌 Current Hotlist (Sorted by Experience):S.NoTechnologyCurrent LocationVisaRelocationExperience1Microsoft Dynamics 365Bostan, MAH1BYes7+2Data EngineerDes Moines, IowaH1BYes6+3TableauNJE3Yes9+4Project ManagerNCCitizenYes235Devops SRE EngineerDallas, TXH1BYes15+6.Net DeveloperKalamazoo, MIH1BYes9+7Dynamics CRMTrenton, New jerseyH1BYes10+8QA Tosca EngineerMaple Shade, NJH4EADYes89SAP SD ConsultantTallahassee FLH1BYes10+10Azure DevopsMontgomery, AlabamaH1BYes8+11SRE EngineerSunnyvale, CAH1BYes14+12Azure/AWS Data EngineerDallas, TXH1BYes10+13GuidewireGAH1BYes17+14QA TesterChandler, AZH1BYes715Java Full Stack developerCharlotte, NCH1BYes6+16SAP UI5 AND FIORIGlassboro, New JerseyOPTYes6+17Hadoop AdminCAH1BCA10+18Data EngineerManassas, VAH1BYes819Azure Data EngineerChicago, ILH1BYes8+20Data EngineerBridgeport, ConnecticutH1BYes8+21Azure Data EngineerSeattle, WashingtonOPTYes5+22Data EngineerChicago, ILH4 EADYes7+23Data EngineerDenton, TexasH1BYes6+24Azure Data EngineerRichardson/TexasOPTYes7+25Azure Data BricksHarrison, NJOPTYes726GCP Data EngineerEllicott City, MarylandH1BYes7+27GCP Data EngineerBoston, MassachusettsH1BYes728Go Lang DeveloperConcord, North CarolinaH1BYes6+29Go Lang developerDenton, TexasH1BYes730Golang DeveloperDenton, TexasH1BYes731Devops EngineerChicago, ILOPTYes832Azure DevopsHouston, TexasOPTYes6+33Azure Devops EngineerAustin, TXH1BYes734Java Fullstack DeveloperPiscataway, NJOPTYes735Java DeveloperNCH1BNo8+36React JSIrving, TXOPTYes737ReactJSIselin, New JerseyH1BYes938Front End DeveloperMiami, FloridaH1BYes6+39Java Full Stack developerEdison, NJOPTYes740Tosca Automation Marietta, GAOPTYes841QA AutomationRedmond, WashingtonH4EADNo542Quality AnalystAustin, TexasL2EADYes1243.Net DeveloperBedford, TXH1BYes644Gen AI EngineerFranklin Park, NJH4 EADYes8+45Data AnalystHerndon, VAH1BYes746Power BI DeveloperChicago, IllinoisH1BYes7+47IAM ConsultantMount Pleasant, MIH1BYes748Hadoop DeveloperJersey CityOPTYes6+49UI/UX DesignerSan jose, CaliforniaH1BYes6+50Application SupportNew York, New YorkOPTYes851PL/SQL DeveloperNew HampshireOPTYes752Full Stack AngularMonroe Township, NJH4EADNO8+53Data AnalystAustin, TexasE3YES14+54Machine LearningWorcester, MAOPTYes355RPA DeveloperNew jerseyH1BYes7+56Front End DeveloperTampa, FLOPTYes7+57Java DeveloperFullerton, CAOPTYes4+58PL/SQL DeveloperGlassboro, New JerseyOPTYes6+💼 If you have any open positions matching these skill sets, let’s connect!📧 Email: Kiran@bilabsinc.com📞 Phone: 732-358-6868 x115 Looking forward to working together!Best regards,Kiran
							
        					
      						
      							
      								 
									
										 Sign-Up for your account with PROHIRES POWERHOUSE Recruiting Portal to broadcast requirements & hotlists.",
CTO (Chief Technical Officer) || 100% Remote,"Remove/unsubscribe  |  Update your contact and subscribed mailing list(s)  |  Subscribe to mailing list(s) to receive requirements & resumes
										
								
           						
						
                        
    		              
				       		
								 
									
                                            From:
		                                   Roopesh Sharma,
		                                   VIZON INC                                            
									       roopesh@vizoninc.com
									       Reply to:   roopesh@vizoninc.com
	
										
								
  						    
						  
                                                
      						
							
								Hello, Hope you are doing great. Please response me on my official email - roopesh@vizoninc.com Please ensure that the resume does not exceed 5 pages. Need LinkedIn Strong Communication Skills Job Title: CTO (Chief Technical Officer)Location: Remote Lead blockchain dev (Rust or Solidity) and IT setup (Java backend). Must-have: Blockchain expertise, startup agility. Priority: High—core to our tech foundation.
							
        					
      						
      							
      								 
									
										 Sign-Up for your account with PROHIRES POWERHOUSE Recruiting Portal to broadcast requirements & hotlists.",
Sr. Bigdata Engineer with Scala experience-HYBRID-NYC,"Remove/unsubscribe  |  Update your contact and subscribed mailing list(s)  |  Subscribe to mailing list(s) to receive requirements & resumes
										
								
           						
						
                        
    		              
				       		
								 
									
                                            From:
		                                   Anusha.vennapusa,
		                                   w3global                                            
									       anusha.vennapusa@w3global.com
									       Reply to:   anusha.vennapusa@w3global.com
	
										
								
  						    
						  
                                                
      						
							
								Note: Don't share without Scala and java Experience.HiHope you are doing Good Title : Sr. Bigdata Engineer with Scala experienceExperience: 12 years + (Mandatory) Visa: US Citizen, H4-EAD, H1-B (PP Number)  Employment Type: C2C, Full time.Location: NYC-HybridJob Description need Sr. Bigdata with Scala experienceStrong In Scala 60% and java 40% Can you please check the Job Descritpion and share resumes to Anusha.vennapusa@w3global.com
							
        					
      						
      							
      								 
									
										 Sign-Up for your account with PROHIRES POWERHOUSE Recruiting Portal to broadcast requirements & hotlists.",
